,Gender,Age,Height,Built,State,District,Area,Railway
1038,MALE,15,153.0,2,DELHI,NEB SARAI,SOUTH,False
1039,MALE,21,153.0,5,DELHI,JAIT PUR,SOUTH EAST,False
1040,MALE,21,153.0,2,DELHI,KARAWAL NAGAR,NORTH EAST,False
1041,MALE,16,153.0,2,DELHI,JAIT PUR,SOUTH EAST,False
1042,MALE,25,153.0,3,DELHI,JAIT PUR,SOUTH EAST,False
1043,MALE,19,122.0,3,DELHI,CHANDNI MAHAL,CENTRAL,False
1044,MALE,23,153.0,3,DELHI,NEB SARAI,SOUTH,False
1045,MALE,65,153.0,2,DELHI,UTTAM NAGAR,WEST,False
1046,MALE,16,153.0,2,DELHI,INDER PURI,SOUTH WEST,False
1047,MALE,22,153.0,3,DELHI,NEW ASHOK NAGAR,EAST,False
1048,MALE,34,153.0,3,DELHI,KALYANPURI,EAST,False
1049,MALE,40,153.0,3,DELHI,JAIT PUR,SOUTH EAST,False
1050,MALE,24,153.0,2,DELHI,MAHENDRA PARK,NORTH WEST,False
1051,MALE,43,153.0,2,DELHI,NEW FRIENDS COLONY,SOUTH EAST,False
1052,MALE,47,153.0,2,DELHI,HAUZ KHAS,SOUTH,False
1053,MALE,28,153.0,5,DELHI,VASANT VIHAR,SOUTH,False
1054,MALE,52,153.0,2,DELHI,HAUZ KHAS,SOUTH,False
1055,MALE,52,153.0,3,DELHI,SARAI ROHILLA,NORTH,False
1056,MALE,15,153.0,2,DELHI,GHAZIPUR,EAST,False
1057,MALE,10,92.0,2,DELHI,MAYA PURI,WEST,False
1058,MALE,22,183.0,5,DELHI,SAROJINI NAGAR,SOUTH,False
1059,MALE,21,153.0,2,DELHI,BHALSWA DAIRY,NORTH WEST,False
1060,MALE,49,183.0,2,DELHI,OLD DELHI (DELHI MAIN) RLY. STN.,CENTRAL,True
1061,MALE,36,183.0,3,DELHI,WELCOME,NORTH EAST,False
1062,MALE,28,183.0,2,DELHI,MALVIYA NAGAR,SOUTH,False
1063,MALE,22,153.0,3,DELHI,MIANWALI NAGAR,WEST,False
1064,MALE,15,122.0,2,DELHI,RAJOURI GARDEN,WEST,False
1065,MALE,11,122.0,2,DELHI,BHAJAN PURA,NORTH EAST,False
1066,MALE,19,183.0,3,DELHI,JAGAT PURI,EAST,False
1067,MALE,5,86.23255813953489,3,DELHI,WELCOME,NORTH EAST,False
1068,MALE,25,153.0,2,DELHI,JAIT PUR,SOUTH EAST,False
1069,MALE,50,153.0,3,DELHI,I.P.ESTATE,CENTRAL,False
1070,MALE,34,153.0,5,DELHI,SOUTH CAMPUS,SOUTH,False
1071,MALE,25,153.0,2,DELHI,OLD DELHI (DELHI MAIN) RLY. STN.,CENTRAL,True
1072,MALE,22,153.0,3,DELHI,JAIT PUR,SOUTH EAST,False
1073,MALE,55,153.0,5,DELHI,VIVEK VIHAR,EAST,False
1074,MALE,40,153.0,2,DELHI,JAIT PUR,SOUTH EAST,False
1075,MALE,12,92.0,3,DELHI,JAIT PUR,SOUTH EAST,False
1076,MALE,37,153.0,3,DELHI,NARELA,NORTH,True
1077,MALE,25,153.0,3,DELHI,NABI KARIM,CENTRAL,False
1078,MALE,28,153.0,3,DELHI,ALIPUR,NORTH WEST,False
1079,MALE,22,153.0,2,DELHI,OKHLA INDUSTRIAL AREA,SOUTH EAST,False
1080,MALE,37,153.0,2,DELHI,KRISHNA NAGAR,EAST,False
1081,MALE,20,153.0,5,DELHI,SAMAIPUR BADLI,CENTRAL,False
1082,MALE,45,153.0,3,DELHI,SAFDARJUNG ENCLAVE,CENTRAL,False
1083,MALE,20,153.0,3,DELHI,UTTAM NAGAR,WEST,False
1084,MALE,17,153.0,2,DELHI,KHAJURI KHAS,NORTH EAST,False
1085,MALE,16,153.0,2,DELHI,SADAR BAZAR,NORTH,True
1086,MALE,33,153.0,2,DELHI,NEW ASHOK NAGAR,EAST,False
1087,MALE,42,153.0,5,DELHI,VIKASPURI,WEST,False
1088,MALE,36,153.0,3,DELHI,NAND NAGRI,NORTH EAST,False
1089,MALE,26,153.0,2,DELHI,NEW ASHOK NAGAR,EAST,False
1090,MALE,42,153.0,3,DELHI,KAROL BAGH,CENTRAL,False
1091,MALE,15,122.0,3,DELHI,VASANT KUNJ SOUTH,SOUTH,False
1092,MALE,60,153.0,2,DELHI,OLD DELHI (DELHI MAIN) RLY. STN.,CENTRAL,True
1093,MALE,15,153.0,2,DELHI,ANAND PARBAT,CENTRAL,False
1094,MALE,58,153.0,3,DELHI,KRISHNA NAGAR,EAST,False
1095,MALE,32,153.0,2,DELHI,KHYALA,WEST,False
1096,MALE,52,153.0,5,DELHI,LAJPAT NAGAR,SOUTH EAST,True
1097,MALE,26,153.0,3,DELHI,NEB SARAI,SOUTH,False
1098,MALE,50,153.0,3,DELHI,SADAR BAZAR,NORTH,True
1099,MALE,34,153.0,2,DELHI,MANDIR MARG,CENTRAL,False
1100,MALE,6,86.23255813953489,2,DELHI,MEHRAULI,SOUTH WEST,False
1101,MALE,54,153.0,3,DELHI,PASCHIM VIHAR,WEST,False
1102,FEMALE,20,153.0,3,DELHI,NAND NAGRI,NORTH EAST,False
1103,FEMALE,19,122.0,2,DELHI,SANGAM VIHAR,SOUTH EAST,False
1104,FEMALE,20,122.0,4,DELHI,CHHAWALA,SOUTH WEST,False
1105,FEMALE,23,122.0,3,DELHI,MUNDKA,WEST,False
1106,FEMALE,35,153.0,3,DELHI,BABA HARIDAS NAGAR,SOUTH WEST,False
1107,FEMALE,40,122.0,6,DELHI,MANGOL PURI,CENTRAL,True
1108,FEMALE,23,153.0,3,DELHI,NAGAF GARH,SOUTH WEST,False
1109,FEMALE,21,153.0,3,DELHI,SULTANPURI,CENTRAL,False
1110,FEMALE,18,153.0,3,DELHI,RANHOLA,WEST,False
1111,FEMALE,35,153.0,3,DELHI,DWARKA NORTH,SOUTH WEST,False
1112,FEMALE,30,153.0,5,DELHI,MAYUR VIHAR PH- I,EAST,False
1113,MALE,17,153.0,3,DELHI,D.B.G. ROAD,CENTRAL,False
1114,MALE,15,122.0,3,DELHI,BADARPUR,SOUTH EAST,False
1115,MALE,30,153.0,5,DELHI,HAUZ KHAS,SOUTH,False
1116,MALE,36,153.0,3,DELHI,SAMAIPUR BADLI,CENTRAL,False
1117,MALE,33,183.0,3,DELHI,MOTI NAGAR,WEST,False
1118,MALE,16,153.0,2,DELHI,NAND NAGRI,NORTH EAST,False
1119,FEMALE,27,153.0,5,DELHI,SHAHBAD DAIRY,CENTRAL,False
1120,FEMALE,19,153.0,3,DELHI,KANJHAWALA,NORTH WEST,False
1121,FEMALE,15,122.0,2,DELHI,SULTANPURI,CENTRAL,False
